est cost,exec time
696964156.789223,43663.78834404766
689403313.5874435,43239.89496311268
689083919.1362493,43298.590435853715
2140556855.4511786,76276.08527114596
2111433461.6687005,76072.48755301404
2076687701.2485566,61505.09742390063
2081812651.6445568,62037.17400615596
2075437969.5783174,60473.32024999488
2095892436.3154795,61166.00533596895
2094928301.9766347,61068.973685002435
2085478247.3273695,60323.762012002444
2095381207.3548226,61186.646347057474
2092301111.0222497,61534.583085785525
2092216791.335785,61292.69169812185
2086915493.6585207,61438.90506189465
2135837915.9269898,61889.1919249384
2135922235.597882,62052.26018585264
2359716875.4726005,66899.12981185688
2212085769.131897,65574.10031089131
7750054583.457394,192961.03445292677
7784888784.266807,192325.77512625753
7808684856.432903,194209.23522360466
820453150.1695825,46204.38487510544
1278961109.6282427,55878.61749090829
1278777358.591394,56403.10469213964
1319089422.6350386,58398.79461030249
1319965595.9097333,57703.87968751563
1326476167.6619825,58162.090082149945
1285723362.753135,58069.583163769836
1300755366.255884,58960.079078975396
1300565526.1400442,58960.32028488525
1300881041.5501544,58956.42851205733
1298351653.721254,58662.51304560666
1298431100.3837683,58598.72891165537
1297554927.1090736,59384.357152990764
1297473034.3033345,59346.46163836912
1297161469.505466,59348.608117783115
1354504772.2762592,61798.50902256445
1389822306.3689678,68490.08750985011
1290710349.925435,63878.05018369108
1245065692.1479313,63568.78831929318
1245253105.398618,63326.87465061283
1248006930.7867332,64871.75028865548
1242273778.9087968,67407.92205185667
1186757701.8401117,60408.52968913597
1120136214.9917994,57192.50675200646
1266149049.5800753,59268.6909167792
1269421890.7383718,59384.06018734439
1292842948.0095122,59606.025850741134
1292761715.805383,59559.788659199694
1292936719.5279827,59337.95823113977
1339660496.1366029,62165.098528024966
1395532245.0833259,65216.29806638042
1679296960.758968,71006.2109692055
1641353368.2547472,68476.88418820675
1637157883.4745622,69005.4041051421
1785753096.0603356,75450.7594891556
1785837415.7312279,75559.0829895691
1779002663.1141107,74938.84775777019
1776345992.953725,76163.43876133913
1776427225.157854,76567.43080978158
1820092094.9637396,76655.8737671995
1822639579.0940735,76125.84796121674
1676583319.1717067,73650.95205948851
1668789590.7031944,73799.13641417201
1645264285.7084534,73531.40156372693
1645881888.0272954,73248.4715808279
1685740762.9583483,73956.82201026416
1651019357.4133399,65526.14186491152
8643198688.568378,216696.19453518605
8643280723.861046,215294.21349760453
8666806028.85579,210605.53281118747
8651484856.256,217718.2457260029
8655954065.631207,209960.25835892753
8658760904.60587,210435.82088667204
8632907800.569813,208385.0180936873
8713669553.565886,217635.74146845672
8743988918.085854,225318.63487001925
8691898890.396818,215868.36740894278
8769847396.152126,221139.32038894322
8821937423.841162,223233.4218414604
8766352704.591702,219649.1165011645
8713578361.788303,218619.33542473215
8504894707.8708105,221328.7508028778
8575521517.363099,224145.24501098073
8550079351.951102,227805.56476023942
8514017695.902663,229496.31188390983
8539287086.504895,226451.04528656302
8461338580.749587,225161.99954783733
8461161844.24399,230065.904770179
8391772296.08756,221570.8649310666
8374128105.796315,216548.21151818373
8373551499.183362,216957.6145029541
8373359530.166779,217200.06687473343
1851635651.8202946,67596.9626238045
1798537371.133927,64936.30177881517
1788780723.603714,65212.2283116709
8331560921.889371,218812.79733132527
8406480533.486599,220631.65856784224
8409907171.307689,220556.06647374577
8379104204.17166,219310.2082550957
8379630491.426932,218645.32078772795
8379012889.108091,220160.00699315104
8377605520.542337,219115.4656304272
4780354756.165386,123944.52406103078
4781180237.477578,123911.57569072185
4777760091.370108,123063.24704900135
5478769726.581418,135047.35997033
5471599334.155924,134800.05813077037
996534467.9011244,47859.189078710646
1282042912.921737,54626.71181426476
1281166739.6470423,55309.61962380288
1280728275.2330084,54915.71786266496
1299890483.3449562,56906.650096475634
1300241876.0532353,56863.80987210973
1340736006.514892,62062.18729976425
1341612179.789587,57738.365523096334
1341532273.413238,57675.353479693054
4967076951.402881,119504.87424274808
4888724789.779642,118746.9633528297
4958628629.7113695,119369.64592521414
4890382147.402701,118312.20835296325
4890300915.198572,118532.24963089864
4880607611.6595545,118409.25546817228
4878105973.758931,118642.29580392204
4883354364.785302,118202.74941466375
3382612045.8280253,92306.88035619816
3413683566.7916827,166793.90509025092
3413604120.1291685,164556.3453298689
1204392146.9898112,68925.79368007138
1204968753.6027637,67375.25924896188
1496209734.1346202,73653.60185305448
1496289640.510969,73664.99811870688
1495713033.8980165,73404.62926700905
1196997401.4934616,65491.33558083662
904120589.4591784,61026.14357681758
928041635.1567904,64381.74208075762
927598800.0752273,64276.04370076317
908932743.4763166,64930.15886370922
1007675694.9797772,79190.17120410761
1007756927.1839063,80299.76049442028
1029984146.1977104,81606.28441913954
1294445692.3909984,88932.07497408755
920084247.5217481,65705.33701298894
920163694.1842623,65985.84257495783
919382681.0027232,67865.96075910138
